,distance,sentiment
argue,0.35176991150442477,-0.34
argued,0.3584070796460177,-0.3612
arguer,0.42035398230088494,-0.3818
arguers,0.47676991150442477,-0.34
argues,0.43307522123893805,-0.3818
arguing,0.375,-0.4588
argument,0.4325221238938053,-0.3612
argumentation,0.4325221238938053,-0.3612
argumentative,0.4325221238938053,-0.3612
argumentatively,0.4325221238938053,-0.4215
arguments,0.4325221238938053,-0.4019
arise,0.3274336283185841,-0.1531
arisen,0.3561946902654867,-0.1531
arises,0.40873893805309736,-0.1531
arising,0.3506637168141593,-0.1531
aristocratic,0.4944690265486726,0.4404
arm,0.22289823008849557,-0.296
arms,0.3473451327433628,-0.2263
arose,0.3805309734513274,-0.1531
arouse,0.5105088495575221,-0.34
aroused,0.5088495575221239,-0.34
arouses,0.566924778761062,-0.34
arousing,0.4961283185840708,-0.34
arrangement,0.3053097345132743,0.4939
arrangements,0.3053097345132743,0.4939
arrant,0.4524336283185841,-0.4767
arrest,0.5016592920353983,-0.34
arrested,0.48396017699115046,-0.4767
arresting,0.439712389380531,-0.34
arrests,0.558075221238938,-0.4404
arrival,0.4834070796460177,0.2023
arrivals,0.5127212389380531,0.2023
arrive,0.46736725663716816,0.0516
arrived,0.4657079646017699,0.0516
arrives,0.5237831858407079,0.0516
arriving,0.45298672566371684,0.0516
arrogance,0.36283185840707965,-0.5267
arrogant,0.44081858407079644,-0.4939
arrogantly,0.39823008849557523,-0.4215
artfully,0.6006637168141593,-0.2023
articulation,0.4883849557522124,0.296
articulations,0.4883849557522124,0.296
artificial,0.336283185840708,-0.3612
artillery,0.4834070796460177,-0.34
artlessly,0.5702433628318584,-0.296
artlessness,0.4684734513274336,0.3818
ascendancy,0.25110619469026546,0.2023
ascendant,0.2793141592920354,-0.296
ascendency,0.22898230088495575,0.2023
ascertain,0.35176991150442477,0.3818
ascertained,0.35176991150442477,0.3818
ascertaining,0.35176991150442477,0.3818
ascertains,0.35176991150442477,0.3818
ashamed,0.2688053097345133,-0.4767
ashamedly,0.3274336283185841,-0.4019
ashen,0.26603982300884954,-0.5423
asinine,0.3086283185840708,-0.4404
